taxon,n.taxa
Brasenia,1
Nymphaea,5
Euryale,1
Nuphar,4
Knema,6
Horsfieldia,3
Myristica,2
Anaxagorea,1
Alphonsea,6
Meiogyne,1
Popowia,1
Polyalthia,17
Chieniodendron,1
Miliusa,7
Orophea,6
Pseuduvaria,1
Mitrephora,3
Artabotrys,8
Xylopia,1
Friesodielsia,1
Dasymaschalon,6
Desmos,5
Uvaria,8
Fissistigma,23
Goniothalamus,11
Disepalum,2
Liriodendron,1
Oyama,4
Manglietia,32
Parakmeria,5
Pachylarnax,1
Yulania,20
Michelia,50
Alcimandra,1
Woonyoungia,1
Lirianthe,10
Talauma,1
Calycanthus,1
Chimonanthus,6
Sinopora,1
Beilschmiedia,43
Endiandra,3
Syndiclis,9
Cryptocarya,21
Neocinnamomum,5
Caryodaphnopsis,3
Alseodaphne,10
Nothaphoebe,2
Machilus,94
Phoebe,40
Dehaasia,3
Dodecadenia,3
Cinnamomum,49
Litsea,104
Actinodaphne,17
Lindera,53
Neolitsea,54
Sinosassafras,1
Iteadaphne,1
Sassafras,2
Illigera,19
Hernandia,1
Zippelia,1
Peperomia,7
Piper,71
Saururus,1
Gymnotheca,2
Thottea,1
Aristolochia,48
Saruma,1
Asarum,47
Acorus,2
Symplocarpus,2
Landoltia,1
Pothos,5
Pothoidium,1
Epipremnum,1
Amydrium,2
Anadendrum,2
Rhaphidophora,12
Scindapsus,1
Homalomena,4
Aglaonema,2
Schismatoglottis,2
Calla,1
Amorphophallus,16
Hapaline,1
Remusatia,4
Steudnera,4
Colocasia,6
Alocasia,8
Pinellia,9
Sauromatum,7
Typhonium,9
Arisaema,95
Lasia,1
Tofieldia,3
Butomopsis,1
Ranalisma,1
Caldesia,2
Sagittaria,9
Alisma,6
Butomus,1
Halophila,4
Enhalus,1
Thalassia,1
Vallisneria,3
Nechamandra,1
Hydrilla,3
Najas,17
Ottelia,9
Blyxa,5
Hydrocharis,1
Aponogeton,1
Scheuchzeria,1
Triglochin,2
Ruppia,1
Syringodium,1
Halodule,2
Cymodocea,1
Posidonia,1
Potamogeton,20
Stuckenia,4
Zannichellia,1
Zostera,5
Phyllospadix,2
Nypa,1
Arenga,6
Wallichia,5
Caryota,4
Chuniophoenix,2
Phoenix,3
Trachycarpus,3
Rhapis,5
Guihaia,2
Licuala,3
Livistona,3
