"","Tip","brLegth"
"1","Nymphaea1_",9.914141
"2","Nymphaea3_",10.936655
"3","Myristica8_",2.671731
"4","Myristica9_",3.40768
"5","Orophea17_",8.168282
"6","Orophea19_",5.762033
"7","Disepalum29_",31.795914
"8","Disepalum30_",31.795914
"9","Oyama32_",5.448488
"10","Oyama33_",5.448488
"11","Litsea53_",1.304735
"12","Litsea54_",2.297696
"13","Litsea56_",4.01601
"14","Lindera57_",5.186227
"15","Lindera59_",0.946201
"16","Epipremnum84_",8.616956
"17","Epipremnum85_",6.070509
"18","Sauromatum100_",9.488319
"19","Sauromatum101_",9.488319
"20","Alpinia158_",8.441376
"21","Alpinia159_",5.166175
"22","Hornstedtia160_",4.02757
"23","Hornstedtia161_",0.087666
"24","Amomum163_",1.206812
"25","Etlingera164_",1.300543
"26","Etlingera165_",3.891116
"27","Amomum167_",1.30888
"28","Amomum168_",4.939471
"29","Caulokaempferia170_",12.661706
"30","Zingiber173_",6.313845
"31","Zingiber174_",8.604962
"32","Hedychium175_",8.604962
"33","Zingiber176_",2.565997
"34","Hedychium181_",6.809299
"35","Roscoea182_",9.027354
"36","Caulokaempferia183_",8.545817
"37","Roscoea184_",8.545817
"38","Commelina194_",26.470824
"39","Commelina196_",3.340706
"40","Carex224_",2.776884
"41","Carex225_",10.309515
"42","Kobresia226_",8.297405
"43","Carex227_",3.499979
"44","Carex228_",2.005289
"45","Kobresia229_",4.458026
"46","Kobresia230_",12.320909
"47","Cyperus240_",5.293232
"48","Cyperus241_",1.596803
"49","Pycreus242_",1.596803
"50","Cyperus243_",1.763454
"51","Pycreus244_",2.944784
"52","Kyllinga245_",3.194528
"53","Kyllinga247_",4.690419
"54","Cyperus249_",4.634462
"55","Cyperus250_",8.593524
"56","Cyperus252_",4.830839
"57","Cyperus253_",4.95343
"58","Stephanachne262_",3.977258
"59","Stephanachne264_",4.493265
"60","Leymus273_",7.471007
"61","Elymus274_",1.769986
"62","Kengyilia275_",2.699924
"63","Elymus276_",2.434844
"64","Kengyilia277_",2.094396
"65","Elymus278_",2.094396
"66","Kengyilia281_",2.357636
"67","Elymus282_",1.30471
"68","Elymus283_",1.138537
"69","Elymus284_",1.138537
"70","Kengyilia285_",2.658503
"71","Elymus286_",3.915667
"72","Elymus287_",7.300206
"73","Leymus288_",7.692389
"74","Helictotrichon292_",8.103081
"75","Briza295_",13.572719
"76","Briza297_",8.815144
"77","Achnatherum298_",1.916762
"78","Agrostis300_",3.340491
"79","Agrostis302_",4.989898
"80","Helictotrichon304_",16.906779
"81","Festuca308_",0.751893
"82","Festuca310_",13.581498
"83","Lolium311_",8.404611
"84","Lolium312_",1.835937
"85","Festuca313_",1.477306
"86","Festuca314_",3.767358
"87","Trikeraia328_",4.707408
"88","Trikeraia329_",4.653284
"89","Achnatherum332_",13.240754
"90","Bambusa336_",0.693953
"91","Bambusa337_",0.621597
"92","Dendrocalamus338_",0.025289
"93","Dendrocalamus340_",0.19203
"94","Gigantochloa341_",0.19203
"95","Bambusa342_",0.728727
"96","Bambusa343_",0.636306
"97","Bambusa344_",0.58201
"98","Bambusa345_",0.485902
"99","Bambusa346_",0.428814
"100","Bambusa348_",0.387755
"101","Bambusa349_",1.390473
"102","Bambusa351_",0.882302
"103","Gigantochloa352_",0.882302
"104","Cephalostachyum353_",1.16341
"105","Cephalostachyum356_",5.176371
"106","Pleioblastus360_",0.209519
"107","Pleioblastus361_",2.843583
"108","Oligostachyum362_",2.814087
"109","Semiarundinaria363_",0.962661
"110","Oligostachyum367_",2.523402
"111","Shibataea369_",2.941884
"112","Indocalamus371_",2.830999
"113","Shibataea372_",1.622495
"114","Ferrocalamus373_",1.622495
"115","Ferrocalamus374_",1.7173
"116","Phyllostachys375_",2.185566
"117","Phyllostachys376_",2.132312
"118","Dichanthium377_",2.040116
"119","Ampelocalamus378_",1.867831
"120","Indocalamus379_",1.867831
"121","Yushania380_",0.91247
"122","Himalayacalamus381_",0.741236
"123","Fargesia382_",0.045054
"124","Yushania383_",0.045054
"125","Phyllostachys384_",0.440889
