"","Tip","brLegth"
"1","Nymphaea_1",9.914141
"2","Nymphaea_3",10.936655
"3","Myristica_8",2.671731
"4","Myristica_9",3.40768
"5","Orophea_17",8.168282
"6","Orophea_19",5.762033
"7","Disepalum_29",31.795914
"8","Disepalum_30",31.795914
"9","Oyama_32",5.448488
"10","Oyama_33",5.448488
"11","Litsea_53",1.304735
"12","Litsea_54",2.297696
"13","Litsea_56",4.01601
"14","Lindera_57",5.186227
"15","Lindera_59",0.946201
"16","Epipremnum_84",8.616956
"17","Epipremnum_85",6.070509
"18","Sauromatum_100",9.488319
"19","Sauromatum_101",9.488319
"20","Alpinia_158",8.441376
"21","Alpinia_159",5.166175
"22","Hornstedtia_160",4.02757
"23","Hornstedtia_161",0.087666
"24","Amomum_163",1.206812
"25","Etlingera_164",1.300543
"26","Etlingera_165",3.891116
"27","Amomum_167",1.30888
"28","Amomum_168",4.939471
"29","Caulokaempferia_170",12.661706
"30","Zingiber_173",6.313845
"31","Zingiber_174",8.604962
"32","Hedychium_175",8.604962
"33","Zingiber_176",2.565997
"34","Hedychium_181",6.809299
"35","Roscoea_182",9.027354
"36","Caulokaempferia_183",8.545817
"37","Roscoea_184",8.545817
"38","Commelina_194",26.470824
"39","Commelina_196",3.340706
"40","Carex_224",2.776884
"41","Carex_225",10.309515
"42","Kobresia_226",8.297405
"43","Carex_227",3.499979
"44","Carex_228",2.005289
"45","Kobresia_229",4.458026
"46","Kobresia_230",12.320909
"47","Cyperus_240",5.293232
"48","Cyperus_241",1.596803
"49","Pycreus_242",1.596803
"50","Cyperus_243",1.763454
"51","Pycreus_244",2.944784
"52","Kyllinga_245",3.194528
"53","Kyllinga_247",4.690419
"54","Cyperus_249",4.634462
"55","Cyperus_250",8.593524
"56","Cyperus_252",4.830839
"57","Cyperus_253",4.95343
"58","Stephanachne_262",3.977258
"59","Stephanachne_264",4.493265
"60","Leymus_273",7.471007
"61","Elymus_274",1.769986
"62","Kengyilia_275",2.699924
"63","Elymus_276",2.434844
"64","Kengyilia_277",2.094396
"65","Elymus_278",2.094396
"66","Kengyilia_281",2.357636
"67","Elymus_282",1.30471
"68","Elymus_283",1.138537
"69","Elymus_284",1.138537
"70","Kengyilia_285",2.658503
"71","Elymus_286",3.915667
"72","Elymus_287",7.300206
"73","Leymus_288",7.692389
"74","Helictotrichon_292",8.103081
"75","Briza_295",13.572719
"76","Briza_297",8.815144
"77","Achnatherum_298",1.916762
"78","Agrostis_300",3.340491
"79","Agrostis_302",4.989898
"80","Helictotrichon_304",16.906779
"81","Festuca_308",0.751893
"82","Festuca_310",13.581498
"83","Lolium_311",8.404611
"84","Lolium_312",1.835937
"85","Festuca_313",1.477306
"86","Festuca_314",3.767358
"87","Trikeraia_328",4.707408
"88","Trikeraia_329",4.653284
"89","Achnatherum_332",13.240754
"90","Bambusa_336",0.693953
"91","Bambusa_337",0.621597
"92","Dendrocalamus_338",0.025289
"93","Dendrocalamus_340",0.19203
"94","Gigantochloa_341",0.19203
"95","Bambusa_342",0.728727
"96","Bambusa_343",0.636306
"97","Bambusa_344",0.58201
"98","Bambusa_345",0.485902
"99","Bambusa_346",0.428814
"100","Bambusa_348",0.387755
"101","Bambusa_349",1.390473
"102","Bambusa_351",0.882302
"103","Gigantochloa_352",0.882302
"104","Cephalostachyum_353",1.16341
"105","Cephalostachyum_356",5.176371
"106","Pleioblastus_360",0.209519
"107","Pleioblastus_361",2.843583
"108","Oligostachyum_362",2.814087
"109","Semiarundinaria_363",0.962661
"110","Oligostachyum_367",2.523402
"111","Shibataea_369",2.941884
"112","Indocalamus_371",2.830999
"113","Shibataea_372",1.622495
"114","Ferrocalamus_373",1.622495
"115","Ferrocalamus_374",1.7173
"116","Phyllostachys_375",2.185566
"117","Phyllostachys_376",2.132312
"118","Dichanthium_377",2.040116
"119","Ampelocalamus_378",1.867831
"120","Indocalamus_379",1.867831
"121","Yushania_380",0.91247
"122","Himalayacalamus_381",0.741236
"123","Fargesia_382",0.045054
"124","Yushania_383",0.045054
"125","Phyllostachys_384",0.440889
